Category,Item_Code,Price,Quantity
36,ig,0.06,97792
36,ig,0.072,90906
36,ig,0.098,1
36,ig,0.116,1
36,ig,0.2,137
36,yl,0.01,136469
36,yl,0.015,616
36,yl,0.031,1414
36,yl,0.191,200
36,yl,0.196,1
36,yl,0.376,200
36,yl,0.502,94569
36,im,0.004,39883
36,im,0.011,1404
36,im,0.02,400
36,im,0.116,1
36,im,0.2,188417
36,qq,0.016,26
36,qq,0.026,371
36,qq,0.03,400
36,qq,0.031,1414
36,qq,0.067,45967
36,qq,0.068,1
36,qq,0.08,1
36,qq,0.502,3772
36,oi,0.063,40353
36,oi,0.087,1414
36,oi,0.09,200
36,oi,0.091,143304
36,oi,0.187,2
36,oi,0.196,1
36,oi,0.251,143
36,ka,0.006,40512
36,ka,0.04,200
36,ka,0.046,92838
36,ka,0.051,1414
36,ka,0.376,200
36,ka,0.502,91472
36,lf,0.02,39509
36,lf,0.022,1351
36,lf,0.027,93362
36,lf,0.03,200
36,lf,0.038,761
36,lf,0.051,95582
36,lf,0.116,1
36,lf,0.134,15688
36,ew,0.004,41374
36,ew,0.042,663
36,ew,0.06,200
36,ew,0.071,96111
36,ew,0.08,1
36,ew,0.087,1
36,ew,0.134,117975
36,nv,0.024,40333
36,nv,0.027,91334
36,nv,0.031,1414
36,nv,0.078,1
36,nv,0.08,201
36,nv,0.084,95531
36,ab,0.051,1771
36,ab,0.116,1
36,ab,0.384,195783
36,am,0.024,17123
36,am,0.026,200
36,am,0.036,1292
36,am,0.04,190503
36,am,0.047,586
36,am,0.094,2
36,am,0.098,1
36,am,0.134,3360
36,mb,0.004,41126
36,mb,0.006,90603
36,mb,0.011,98743
36,mb,0.015,554
36,mb,0.502,132
36,uk,0.01,40410
36,uk,0.011,200
36,uk,0.064,200
36,uk,0.071,93483
36,uk,0.12,1414
36,uk,0.192,128
36,uk,0.2,94461
36,mm,0.01,37716
36,mm,0.011,397
36,mm,0.015,93032
36,mm,0.058,767
36,mm,0.08,98255
36,mm,0.167,139
36,ub,0.004,37463
36,ub,0.008,1367
36,ub,0.01,200
36,ub,0.011,98602
36,ub,0.04,95127
36,ub,0.094,2
36,ub,0.095,3180
36,nz,0.006,40389
36,nz,0.071,200
36,nz,0.094,1
36,nz,0.183,128
36,nz,0.188,1614
36,nz,0.196,1
36,nz,0.251,192262
36,tw,0.01,40410
36,tw,0.011,1781
36,tw,0.054,1
36,tw,0.067,92718
36,tw,0.098,1
36,tw,0.502,99594
36,kt,0.047,39953
36,kt,0.078,201
36,kt,0.08,1415
36,kt,0.111,92052
36,kt,0.139,697
36,kt,0.147,92286
36,kt,0.185,13818
36,nf,0.011,39946
36,nf,0.031,1614
36,nf,0.047,597
36,nf,0.078,1
36,nf,0.08,1
36,nf,0.2,184735
36,bz,0.111,39966
36,bz,0.116,1
36,bz,0.131,1414
36,bz,0.152,97870
